C1 Variete;C1 Producteur;C1 Calibre;C2 Variete;C2 Producteur;C2 Calibre;C3 Variete;C3 Producteur;C3 Calibre
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Test;Denis;40/76
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Denis;40/75
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Denis;40/75
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Denis;40/75
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Denis;40/75
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Denis;40/75
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Denis;40/75
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Denis;40/75
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Denis;40/75
Manitou;Bihucourt;40/75;Amandinette;Bihucourt;40/75;Manitou;Denis;40/75
Amandinette;Bihucourt;40/75;Amandinette;Bihucourt;40/75;Manitou;Denis;40/75
Manitou;Bihucourt;40/75;Didier;Bihucourt;40/75;Manitou;Bihucourt;40/75
Manitou;Bihucourt;40/75;Adrien;Bihucourt;40/75;Manitou;Bihucourt;40/75
Manitou;Bihucourt;40/75;Test;Bihucourt;40/75;Manitou;Bihucourt;40/75
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75
Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75;Manitou;Bihucourt;40/75
